Source apportionment for 150 cities
commit 6a045405445885d5976afee7b0f674567d072dd9
emissions cdf = Z:/pisonen/SHERPA/pm25_slidingWindows_emepChimere/chimere/BC_emi_PM25_Y.nc
concentrations cdf = Z:/pisonen/SHERPA/pm25_slidingWindows_emepChimere/chimere/BC_conc_PM25_Y.nc
model folder = Z:/pisonen/SHERPA/pm25_slidingWindows_emepChimere/chimere/SR_PM25_Y.nc
model;pollutant;target;source;snap;precursor;potential;relative_potential;potency;target_conc_basecase;delta_conc;DE
sherpa_chimere;PM25;Wien;Wien_City;9;PPM;4.349225e-01;1.867611e+00;1.844703e-03;2.328764e+01;2.174612e-01;1.178841e+02
sherpa_chimere;PM25;Wien;Wien_City;9;SOx;3.038165e-04;1.304626e-03;2.847761e-05;2.328764e+01;1.519083e-04;5.334305e+00
sherpa_chimere;PM25;Wien;Wien_Comm;10;NH3;3.607896e-01;1.549275e+00;6.557133e-05;2.328764e+01;1.803948e-01;2.751123e+03
sherpa_chimere;PM25;Wien;Wien_Comm;10;NMVOC;1.632430e-05;7.009856e-05;1.158873e-06;2.328764e+01;8.162152e-06;7.043181e+00
sherpa_chimere;PM25;Wien;Wien_Comm;10;NOx;6.296455e-06;2.703775e-05;1.171805e-05;2.328764e+01;3.148228e-06;2.686649e-01
sherpa_chimere;PM25;Wien;Wien_Comm;10;PPM;3.281727e-02;1.409214e-01;2.654244e-04;2.328764e+01;1.640863e-02;6.182038e+01
sherpa_chimere;PM25;Wien;Wien_Comm;10;SOx;3.115291e-06;1.337744e-05;7.486946e-06;2.328764e+01;1.557646e-06;2.080482e-01
sherpa_chimere;PM25;Wien;Wien_Comm;1;NH3;8.807942e-03;3.782238e-02;1.499680e-04;2.328764e+01;4.403971e-03;2.936607e+01
sherpa_chimere;PM25;Wien;Wien_Comm;1;NMVOC;2.265151e-03;9.726837e-03;1.306690e-06;2.328764e+01;1.132576e-03;8.667512e+02
sherpa_chimere;PM25;Wien;Wien_Comm;1;NOx;1.220505e-01;5.240998e-01;2.620524e-05;2.328764e+01;6.102525e-02;2.328743e+03
sherpa_chimere;PM25;Wien;Wien_Comm;1;PPM;1.980250e-01;8.503438e-01;4.268001e-04;2.328764e+01;9.901252e-02;2.319880e+02
sherpa_chimere;PM25;Wien;Wien_Comm;1;SOx;1.153386e-02;4.952780e-02;1.097416e-05;2.328764e+01;5.766928e-03;5.255004e+02
sherpa_chimere;PM25;Wien;Wien_Comm;2;NH3;1.401117e-02;6.016569e-02;1.187459e-04;2.328764e+01;7.005586e-03;5.899644e+01
sherpa_chimere;PM25;Wien;Wien_Comm;2;NMVOC;1.267348e-02;5.442149e-02;2.859074e-06;2.328764e+01;6.336741e-03;2.216361e+03
sherpa_chimere;PM25;Wien;Wien_Comm;2;NOx;7.853061e-02;3.372201e-01;3.276185e-05;2.328764e+01;3.926531e-02;1.198507e+03
sherpa_chimere;PM25;Wien;Wien_Comm;2;PPM;9.818644e-01;4.216246e+00;4.632625e-04;2.328764e+01;4.909322e-01;1.059728e+03
sherpa_chimere;PM25;Wien;Wien_Comm;2;SOx;2.562342e-02;1.100301e-01;1.434644e-05;2.328764e+01;1.281171e-02;8.930237e+02
sherpa_chimere;PM25;Wien;Wien_Comm;3;NH3;3.713568e-03;1.594652e-02;1.227646e-04;2.328764e+01;1.856784e-03;1.512476e+01
sherpa_chimere;PM25;Wien;Wien_Comm;3;NMVOC;6.953263e-04;2.985816e-03;1.149135e-06;2.328764e+01;3.476631e-04;3.025432e+02
sherpa_chimere;PM25;Wien;Wien_Comm;3;NOx;6.338620e-02;2.721881e-01;1.887231e-05;2.328764e+01;3.169310e-02;1.679344e+03
