Source apportionment for 150 cities
commit 6a045405445885d5976afee7b0f674567d072dd9
emissions cdf = Z:/pisonen/SHERPA/pm25_slidingWindows_emepChimere/emep/full domain/BC_emi_PM25_Y_SNAP.nc
concentrations cdf = Z:/pisonen/SHERPA/pm25_slidingWindows_emepChimere/emep/full domain/BC_conc_PM25_Y_emep.nc
model folder = Z:/pisonen/SHERPA/pm25_slidingWindows_emepChimere/emep/full domain/SR_SURF_ug_PM25_rh50.nc
model;pollutant;target;source;snap;precursor;potential;relative_potential;potency;target_conc_basecase;delta_conc;DE
sherpa_emep;PM25;Linz;Linz_International;5;NH3;9.711159e-04;6.882098e-03;4.416849e-07;1.411075e+01;4.855579e-04;1.099331e+03
sherpa_emep;PM25;Linz;Linz_International;5;NMVOC;5.683918e-03;4.028076e-02;2.097582e-08;1.411075e+01;2.841959e-03;1.354874e+05
sherpa_emep;PM25;Linz;Linz_International;5;NOx;3.958721e-04;2.805464e-03;6.895896e-08;1.411075e+01;1.979360e-04;2.870346e+03
sherpa_emep;PM25;Linz;Linz_International;5;PPM;3.209570e-03;2.274556e-02;8.320744e-07;1.411075e+01;1.604785e-03;1.928656e+03
sherpa_emep;PM25;Linz;Linz_International;5;SOx;2.629726e-06;1.863633e-05;2.481485e-07;1.411075e+01;1.314863e-06;5.298694e+00
sherpa_emep;PM25;Linz;Linz_International;6;NH3;6.650423e-05;4.713018e-04;4.473467e-07;1.411075e+01;3.325211e-05;7.433185e+01
sherpa_emep;PM25;Linz;Linz_International;6;NMVOC;7.002290e-02;4.962378e-01;2.356312e-08;1.411075e+01;3.501145e-02;1.485858e+06
sherpa_emep;PM25;Linz;Linz_International;6;NOx;3.339383e-06;2.366552e-05;6.899878e-08;1.411075e+01;1.669692e-06;2.419886e+01
sherpa_emep;PM25;Linz;Linz_International;6;PPM;1.836386e-03;1.301409e-02;7.782709e-07;1.411075e+01;9.181932e-04;1.179786e+03
sherpa_emep;PM25;Linz;Linz_International;6;SOx;2.308235e-06;1.635799e-05;3.077331e-07;1.411075e+01;1.154118e-06;3.750385e+00
sherpa_emep;PM25;Linz;Linz_International;7;NH3;4.778540e-02;3.386453e-01;4.865514e-07;1.411075e+01;2.389270e-02;4.910622e+04
sherpa_emep;PM25;Linz;Linz_International;7;NMVOC;2.749700e-02;1.948656e-01;2.308129e-08;1.411075e+01;1.374850e-02;5.956557e+05
sherpa_emep;PM25;Linz;Linz_International;7;NOx;3.671908e-01;2.602206e+00;9.880279e-08;1.411075e+01;1.835954e-01;1.858201e+06
sherpa_emep;PM25;Linz;Linz_International;7;PPM;1.807470e-01;1.280916e+00;9.393571e-07;1.411075e+01;9.037348e-02;9.620781e+04
sherpa_emep;PM25;Linz;Linz_International;7;SOx;1.885102e-03;1.335933e-02;3.245918e-07;1.411075e+01;9.425508e-04;2.903804e+03
sherpa_emep;PM25;Linz;Linz_International;8;NH3;3.130475e-04;2.218503e-03;7.853971e-07;1.411075e+01;1.565238e-04;1.992925e+02
sherpa_emep;PM25;Linz;Linz_International;8;NMVOC;4.996725e-03;3.541076e-02;1.883654e-08;1.411075e+01;2.498363e-03;1.326338e+05
sherpa_emep;PM25;Linz;Linz_International;8;NOx;1.306979e-01;9.262288e-01;1.194728e-07;1.411075e+01;6.534893e-02;5.469776e+05
